Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2017,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Jean Augustine Park,Other,2113 Lake Shore Blvd W,Etobicoke,M8V 4E8,86681,Square feet,100,0,7076.1494999999995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.74138199999996,8.1634717919223929E-2,NA,2113LA,Outdoor Recreational Facilities
Jean Sibelius Square,Other,50 Kendal Ave,Toronto,M5R 2Z5,183,Square feet,100,0,12433.25362,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447.59713031999996,67.941559700674404,NA,BWAP,Outdoor Recreational Facilities
Jeff Healey Park,Other,1 Delroy Dr,Etobicoke,M8Y 1M7,608634,Square feet,100,0,3259.080575,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.3269007,5.3547684725177951E-3,NA,1DELRO,Outdoor Recreational Facilities
John Tabor Park,Other,240 John Tabor Trail,Scarborough,M1B 2R6,278462,Square feet,100,0,3782.3985170000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.16634661199998,1.3583233177215636E-2,NA,JOHN,Outdoor Recreational Facilities
Jonathan Ashbridge Park,Other,1515 Queen St E,Toronto,M4L 2Y5,1,Square feet,100,0,9089.3707639999993,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.21734750399997,9089.4086363781826,NA,JAP,Outdoor Recreational Facilities
Joseph Bannon Park,Other,65 Mary Chapman Blvd,Etobicoke,M9C 2Y2,1,Square feet,100,0,95377.705155000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3433.5973855799998,95378.102562104803,NA,JBP,Outdoor Recreational Facilities
Joseph Sheard Parkette,Other,17 Granby St,Toronto,M5B 2J5,1,Square feet,100,0,908.93102099999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.721516756,908.93480821258754,NA,JSSP,Outdoor Recreational Facilities
June Callwood Park,Other,636 Fleet St,Toronto,M5V 4A2,93839,Square feet,100,0,11682.934950000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.58565820000001,0.12450029975698405,NA,JUNECP,Outdoor Recreational Facilities
Keele C.C,Other,181 Glenlake Ave,Toronto,M6P 4B6,10000,Square feet,100,0,7228.6027469999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.22969889199999,0.7228632866178113,NA,KEELC,Outdoor Recreational Facilities
Keelesdale Park,Other,2801 Eglinton Ave W,Toronto,M6M 5B4,1399233,Square feet,100,0,102391.600167,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3686.0976060119997,7.31772526796233E-2,NA,KLDP,Outdoor Recreational Facilities
Kenaston Gardens,Other,12 Kenaston Gardens,North York,M2K 1G8,12432,Square feet,100,0,5839.6170239999992,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.22621286399996,0.46972662127876441,NA,KENGDNS,Outdoor Recreational Facilities
Kew Gardens Outdoor Rink,Other,28-56 Lee Av,Toronto,M4E 2N9,797,Square feet,100,0,354161.20500000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12749.803379999999,444.36973735468951,NA,KGODR,Outdoor Recreational Facilities
Kew Gardens Park,Other,70 Kew Beach Av,Toronto,M4L 3R3,18406,Square feet,100,0,314136.06004900002,kWh,13972.400630999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37852.127916468387,25.080978005751962,NA,KGP,Outdoor Recreational Facilities
Kirkwood Park T.C,Other,25 Kirkwood Rd,North York,M2L 2X7,195537,Square feet,100,0,11867.602554999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.23369197999995,6.0692615736888555E-2,NA,KWPT,Outdoor Recreational Facilities
Kiwanis Pool Change Rooms,Other,375 Cedarvale Avenue,Toronto,M4C 4K7,2939,Square feet,100,0,161731.99192199999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5822.3517091919994,55.029828446852555,NA,KWCR,Outdoor Recreational Facilities
Knob Hill Park-ODP,Other,25 Seminole Ave,Scarborough,M1J 1M8,3255,Square feet,100,0,16796.785787000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.68428833199994,5.1603243544108901,NA,KNOB,Outdoor Recreational Facilities
L'Amoreux Fieldhouse,Other,3061 Birchmount,Scarborough,M1W 3W3,1991,Square feet,100,0,11117.424626,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.22728653599995,5.5838628571585183,NA,LAFH,Outdoor Recreational Facilities
La Rose Park,Other,65 La Rose Ave,Etobicoke,M9P 1B1,207603,Square feet,100,0,2196.7079349999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.081485659999984,1.0581335953477209E-2,NA,LAROSE,Outdoor Recreational Facilities
Lake Front Boat Hse,Other,390 Lake Front Boat/Hse,Toronto,M4E 1A7,1,Square feet,100,0,11752.264539000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.08152340400005,11752.313506768913,NA,LFBH,Outdoor Recreational Facilities
Lambton Kingsway Pool/Rink,Other,37 Marquis Ave,Etobicoke,M8X 1V3,1076,Square feet,100,0,237241.95723099998,kWh,9801,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27159.572150316002,316.64464010460478,NA,LBP,Outdoor Recreational Facilities
Langford Parkette,Other,11 Woodycrest Ave,Toronto,M4J 3A5,1,Square feet,100,0,908.93133100000011,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.721527915999999,908.93511821387926,NA,LFP,Outdoor Recreational Facilities
Lanyard Park - Flood Lights,Other,142 Lanyard Rd,Etobicoke,M9C 2Y2,229088,Square feet,100,0,17010.071167999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612.36256204799986,7.4251562907251933E-2,NA,LYFL,Outdoor Recreational Facilities
Laura Park - Lights,Other,12 Laura Rd,North York,M3N 1Z6,206354,Square feet,100,0,5608.7259270000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.91413337200001,2.718023055860978E-2,NA,LPL,Outdoor Recreational Facilities
Lawren Harris Square,Other,150 Bayview Avenue,Toronto,M5A 1H7,12916,Square feet,100,0,19063.637973000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686.29096702799995,1.4759768817609853,NA,LAWHAR,Outdoor Recreational Facilities
Leaside Lawn Bowling Club,Other,645 Eglinton Ave E,East York,M4G 2K3,2207,Square feet,100,0,10260.920727000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.393146172,4.6492811422004365,NA,LSLB,Outdoor Recreational Facilities
Leaside Park Pool,Other,5 Leaside Park Dr,East York,M4H 1R1,5662,Square feet,100,0,60248.715637000001,kWh,20250.966667000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40639.51263056523,48.398678603871574,NA,LSPP,Outdoor Recreational Facilities
Leonard Linton Park,Other,135 Vanderhoof,East York,M4G 1P2,87112,Square feet,100,0,2639.6248489999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.026494563999989,3.0301632925852584E-2,NA,135VAN,Outdoor Recreational Facilities
Lessard Park,Other,58 Humberview Rd,Toronto,M6S 1W6,157820,Square feet,100,0,1554.2668530000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.953606707999995,9.8483926568995531E-3,NA,58HV,Outdoor Recreational Facilities
Liberty Village Park,Other,70 EAST LIBERTY,Toronto,M6K 0A2,45197,Square feet,100,0,12806.674053000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.04026590799998,0.28335348395118898,NA,70EASTLIBERTY,Outdoor Recreational Facilities
Lillian Park,Other,228 Otonabee Ave,North York,M2M 2S9,110028,Square feet,100,0,2883.483999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.805423964,2.6206929268155946E-2,NA,LLP,Outdoor Recreational Facilities
Lisgar Park,Other,90 LISGAR ST,Toronto,M6J 3G4,31850,Square feet,100,0,10285.521983999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370.27879142399996,0.32293767159628256,NA,LISPK,Outdoor Recreational Facilities
Lithuania Park,Other,155 Oakmount Rd,Scarborough,M1P 4N7,1582,Square feet,100,0,7296.6758039999995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.68032894399994,4.6123300928039503,NA,LITP,Outdoor Recreational Facilities
Little Norway Park,Other,659 Queens Quay W,Toronto,M5V 3G3,2540,Square feet,100,0,99564.248942000006,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3584.312961912,39.198686532691838,NA,LNWP,Outdoor Recreational Facilities
Littles Park,Other,11743 Sheppard Ave. E.,Scarborough,M1B 5M3,526032,Square feet,100,0,200.933933,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2336215879999992,3.8198202813654073E-4,NA,11743S,Outdoor Recreational Facilities
Logan Ave Parkette,Other,922 Logan Ave,Toronto,M4K 3E4,1,Square feet,100,0,908.93127099999992,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.721525755999991,908.93505821362908,NA,LOGANPK,Outdoor Recreational Facilities
Long Branch Park,Other,205 Lake Promenade,Etobicoke,M8W 1A6,154892,Square feet,100,0,210.707818,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5854814479999995,1.3603588045169646E-3,NA,205LAK,Outdoor Recreational Facilities
Lora Hill Park,Other,27 Fernalroy Blvd,Etobicoke,M8Z 3W1,101428,Square feet,100,0,3270.957058,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.75445408799999,3.2249188458687357E-2,NA,27FERN,Outdoor Recreational Facilities
Lytton Park,Other,225 Lytton Bv Pole 48,Toronto,M4R 1L4,4306,Square feet,100,0,19068.821425999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686.47757133599987,4.4284488804975863,NA,LYTP,Outdoor Recreational Facilities
Lytton Park Bowling Club,Other,200 Lytton Blvd,Toronto,M4R 1L4,3229,Square feet,100,0,2345.4250430000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.435301547999998,0.72636569080345192,NA,LPLB,Outdoor Recreational Facilities
MacGregor Park,Other,346 Lansdowne Ave,Toronto,M6H 3Y2,157680,Square feet,100,0,63093.472893999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2271.3650241839996,0.40013784743449005,NA,MGP,Outdoor Recreational Facilities
Mainland Ferry Terminal,Other,9 Queens Quay W.,Toronto,M5J 2H3,6135,Square feet,100,0,633928.05869999994,kWh,6236.1321869999992,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34668.128067522026,114.06095777899205,NA,MFT,Outdoor Recreational Facilities
Malta Park,Other,3187 Dundas St W,Toronto,M6P 2A2,20677,Square feet,100,0,454.46080699999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.360589051999998,2.1979141102998298E-2,NA,MALP,Outdoor Recreational Facilities
Manchester Park,Other,75 Manchester St,Etobicoke,M8V 3V7,250486,Square feet,100,0,11182.202600000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.55929359999999,4.4642212309314033E-2,NA,117BUR,Outdoor Recreational Facilities
Maple Leaf A.I.R,Other,320 Culford Rd,North York,M6L 2V7,2303,Square feet,100,0,86512.843545999989,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3114.4623676559995,37.565438131212083,NA,MAPLR,Outdoor Recreational Facilities
Maple Leaf Quay Park,Other,375 Queens Quay W,Toronto,M5V 1A2,42689,Square feet,100,0,98969.112200000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3562.8880391999996,2.3183847026470716,NA,MLQP,Outdoor Recreational Facilities
Marie Curtis Park,Other,2 Forty-Second St,Etobicoke,M8W 3P2,3014,Square feet,100,0,53604.569495000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929.7645018200001,17.785266372718279,NA,MCP,Outdoor Recreational Facilities
Martin Grove Gardens Park,Other,31 Lavington Dr,Etobicoke,M9R 2H9,408372,Square feet,100,0,2021.3735260000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.769446935999994,4.9498544180053769E-3,NA,31LAVI,Outdoor Recreational Facilities
Martin Grove House / Bungalow,Other,410 Martin Grove Rd,Etobicoke,M9B 4L9,4790,Square feet,100,0,7270.0495709999996,kWh,1487.9244120000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3088.31691078828,4.797019395192323,NA,MGHS,Outdoor Recreational Facilities
Martingrove Rink (outdoor),Other,400 Martin Grove Rd,Etobicoke,M9B 4L9,4435,Square feet,100,0,238691.45496800001,kWh,15659.110882000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38340.348730274578,91.093965453440589,NA,MARTR,Outdoor Recreational Facilities
Maryland Park Tennis Clubhouse,Other,19 Maryland Blvd,Toronto,M4C 1R2,1151,Square feet,100,0,15811.182943,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.20258594799998,13.736966831389164,NA,19MARY,Outdoor Recreational Facilities
Maryvale Park,Other,1325 Pharmacy Ave,Scarborough,M1R 2J1,5100,Square feet,100,0,25922.002233000003,kWh,2184.1413039999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5082.38347418376,9.6038312851110774,NA,MARY,Outdoor Recreational Facilities
McCleary Park,Other,755 Lake Shore Blvd E,Toronto,M4M 1A9,603,Square feet,100,0,31122.940038000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120.425841368,51.613714290077652,NA,MCPW,Outdoor Recreational Facilities
McNicoll Park,Other,215 McNicoll Ave,North York,M2H 2C4,304877,Square feet,100,0,26565.797758999997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956.36871932399981,8.7136479464912056E-2,NA,MCNP,Outdoor Recreational Facilities
Mel Lastman Square,Other,5100 Yonge St,North York,M2N 5V7,117692,Square feet,100,0,268641.801936,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9671.1048696959988,2.282592880372849,NA,MLSQ,Outdoor Recreational Facilities
Memorial Park,Other,340 Chaplin Crescent,Toronto,M5N 2N3,584157,Square feet,100,0,12889.107498000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.00786992799999,2.206454977448627E-2,NA,MMPK,Outdoor Recreational Facilities
Metro Square Eternal Flame,Other,200 Wellington St W,Toronto,M5V 3C7,1,Square feet,100,0,0,0,8089.2080089999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15366.987562617211,85395.730359502937,NA,MSEF,Outdoor Recreational Facilities
Milliken Concession,Other,4235 McCowan Rd,Scarborough,M1V 4P1,4004,Square feet,100,0,180472.65484999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6497.0155745999991,45.073278426422377,NA,MILC,Outdoor Recreational Facilities
Millwood Park,Other,4350 Bloor St,Etobicoke,M9C 1Y2,458983,Square feet,100,0,18764.980556000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675.53930001600008,4.0883995144523837E-2,NA,MILL,Outdoor Recreational Facilities
Mimico Memorial Park,Other,25 George St,Etobicoke,M8V 2S1,149553,Square feet,100,0,7858.8966249999994,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.92027849999994,5.2549459859732688E-2,NA,25GEOR,Outdoor Recreational Facilities
Moatfield Farm Park,Other,351 Lesmill Rd,North York,M3B 2T5,1030127,Square feet,100,0,15600.972091000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561.63499527600004,1.5144770591442007E-2,NA,MFFP,Outdoor Recreational Facilities
Monarch Park,Other,115 Felstead Ave,Toronto,M4J 1G3,22787,Square feet,100,0,28631.821148000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.7455613280001,1.2565032890356249,NA,MNPK,Outdoor Recreational Facilities
Monarch Park Pool,Other,115 Felstead Ave,Toronto,M4J 1G3,9364,Square feet,100,0,667621.884097,kWh,26193.200891,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73793.3496281158,100.82653637492447,NA,MPSP,Outdoor Recreational Facilities
Moorevale Park,Other,117 Moore Av Shelter,Toronto,M4T 1V8,2390,Square feet,100,0,64094.893497999998,kWh,6948.3700230000004,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15507.165214920871,57.509352221003006,NA,MOOR,Outdoor Recreational Facilities
Morningside Park,Other,390 Morningside Ave,Scarborough,M1C 1B9,4392,Square feet,100,0,106490.10698999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3833.6438516399994,24.246482399539872,NA,MSP,Outdoor Recreational Facilities
Morse St Playground,Other,76 Morse St,Toronto,M4M 2P6,29762,Square feet,100,0,1786.242898,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.304744327999998,6.0017819389783671E-2,NA,MSPG,Outdoor Recreational Facilities
Mt Pleasant Parkette,Other,500 Mount Pleasant Rd,Toronto,M4S 2L8,17491,Square feet,100,0,13405.791999999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.60851199999996,0.76644261948811765,NA,MPP,Outdoor Recreational Facilities
Muirhead Park,Other,61 Muirhead Rd,North York,M2J 3W4,21219,Square feet,100,0,12556.494558999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.03380412399991,0.59175959648085819,NA,MUIR,Outdoor Recreational Facilities
Murison Woods Park,Other,95 Murison Blvd,Scarborough,M1B 2L6,499001,Square feet,100,0,4791.6090159999994,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.49792457599997,9.6024436444767953E-3,NA,95MURR,Outdoor Recreational Facilities
Neilson Park,Other,1575 Neilson Rd,Scarborough,M1B 5Z7,3251,Square feet,100,0,107989.513198,kWh,5311.3397609999993,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13977.521505702091,50.464607345622824,NA,NSP,Outdoor Recreational Facilities
Nightstar Park,Other,18 NIGHTSTAR RD,Scarborough,M1X 1Z8,34455,Square feet,100,0,628.70559500000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.633401419999998,1.8247227241522154E-2,NA,18NIGHTSTAR,Outdoor Recreational Facilities
Norman Jewison Park,Other,13 Isabella St,Scarborough,M1T 3T7,25338,Square feet,168,0,4966.174008,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.78226428799999,0.19599789645558846,NA,13ISAB,Outdoor Recreational Facilities
North Humber Park Lighting,Other,2901 Kipling Ave,Etobicoke,M9V 5E5,183481,Square feet,100,0,5832.7972660000005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.980701576,3.1789785151170646E-2,NA,2901KI,Outdoor Recreational Facilities
North Linear Park,Other,175 Dan Leckie Way,Toronto,M5V 4A8,1,Square feet,100,0,41404.909340999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490.5767362759998,41405.081861455583,NA,NLP,Outdoor Recreational Facilities
Northwood Park,Other,134 Stilecroft Dr,North York,M3J 1A9,850,Square feet,100,0,13483.710631,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485.41358271599995,15.8632550742678,NA,NWP,Outdoor Recreational Facilities
Norwood Park,Other,10 Norwood Rd,Toronto,M4E 2R8,1905,Square feet,100,0,7868.7117689999995,kWh,3827.8739350000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7555.0474592641503,25.343120740311257,NA,NORW,Outdoor Recreational Facilities
Oakcrest Park,Other,20 Oakcrest Av /Park,Toronto,M4C 1B4,183,Square feet,100,0,537.47400000000005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.349063999999998,2.9370286310109295,NA,OKCP,Outdoor Recreational Facilities
Oakdale VIllage Park,Other,88 fred young dr,North York,M3L 0A3,123451,Square feet,100,0,2593.8750180000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.379500648000004,2.1011460626585245E-2,NA,OAKVILLPK,Outdoor Recreational Facilities
Oates Park,Other,10 Oates Dr,Scarborough,M1L 0A9,130264,Square feet,100,0,3786.8749469999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.32749809199998,2.9070892385045847E-2,NA,OATES,Outdoor Recreational Facilities
Old Orchard Park,Other,450 Deloraine Ave,Toronto,M5M 2B8,50611,Square feet,100,0,2830.4178440000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.89504238399999,5.5925186963460188E-2,NA,450DELORAINEAVE,Outdoor Recreational Facilities
Olympic Island Buildings,Other,0 Olympic Isld,Toronto,M5J 2V3,4725,Square feet,100,0,42976.083190999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1547.1389948759997,9.0955052397911729,NA,OIB,Outdoor Recreational Facilities
Oriole Park WR,Other,201 Oriole Pky,Toronto,M5P 2HR,377,Square feet,100,0,10295.610561000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370.64198019600002,27.309425621690551,NA,ORP,Outdoor Recreational Facilities
Osler Playground,Other,95 Argyle St,Toronto,M6J 1N7,183,Square feet,100,0,6817.0231659999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.41283397599997,37.251647924935476,NA,OSPG,Outdoor Recreational Facilities
Osler Walkway,Other,16A Osler St,Toronto,M6P 4A2,1722,Square feet,100,0,17977.541519999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647.19149471999992,10.439963081546457,NA,16AOSLER,Outdoor Recreational Facilities
Otter Creek Park,Other,140 Cheritan Ave,Toronto,M4R 1S8,3035,Square feet,100,0,350523.43022500002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12618.843488099999,115.49419793716396,NA,OCP,Outdoor Recreational Facilities
