Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2015 - Dec/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Sub-sector,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,,,,,,,,,,,,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Fuel Oil 1 & 2,,Fuel Oil 4 & 6,,Propane,,Coal,,Wood,,District Heating,,,,District Cooling,,,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",,,,,
17MILL,Other,17 MILL,Toronto,M2P 1B3,0,Square feet,100,0,2536.701159,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,112,,,17MILL,Leasing
180 Roxborough,Other,180 Roxborough,Toronto,M4W 1X8,0,Square feet,100,0,1950.251355,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,86,,,180ROXBOROUH,Outdoor Recreational Facilities
1845 Kingston Rd,Other,1845 Kingston Rd,Toronto,M1N 1G8,2400,Square feet,100,0,408.568188,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,18,0.2,,1845KING,Leasing
High Park - Lot Cytor,Other,1873 Bloor St W- Lot Cytor,Toronto,M6P 3K7,0,Square feet,168,0,36322.28615,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,598",,,1873BLTO,Sewage Pumping Facilities
18 Applebaum,Other,18 Applebaum Terrace,Toronto,M3J 0E7,0,Square feet,100,0,3266.525439,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,144,,,18APPLE,Outdoor Recreational Facilities
18 Ferrier Ave,Parking garages,18 Ferrier Ave,Toronto,M4K 1P7,6900,Square feet,168,0,2312.0238,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,102,0.3,,18FERR,Parking Lots and Garages
Nightstar Park,Other,18 NIGHTSTAR RD,Toronto,M1X 1Z8,0,Square feet,100,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,49,,,18NIGHTSTAR,Outdoor Recreational Facilities
18 Ossington Ave,Parking garages,18 Ossington Ave,Toronto,M6J 2Y7,6469,Square feet,168,0,4490.704194,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,198,0.7,,18OSSI,Parking Lots and Garages
Bluehaven Park,Other,19 BLUEHAVEN CRES,North York,M9M 1W6,0,Square feet,100,0,22027.31559,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,969,,,19BLUEHAVEN,Outdoor Recreational Facilities
Maryland Park Tennis Clubhouse,Other,19 Maryland Blvd,Toronto,M4C 1R2,0,Square feet,100,0,12887.26155,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,567,,,19MARY,Outdoor Recreational Facilities
