_id,ADDRESS_POINT_ID,ADDRESS_POINT_ID_LINK,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,GENERAL_USE,CENTRELINE_ID,CENTRELINE_SIDE,CENTRELINE_MEASURE,ADDRESS_CLASS_DESC,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,BUILDING_NAME,CLIENT_ADDRESS,TYPE_INSTALL,YEAR_INSTALL,SIZE_INSTALL,UNIT_MAX_POWER,ENERGY_OUTPUT,UNIT_ANNUAL,LANDLORD,SYSTEM_OWNERSHIP,FORMER_MUNICIPALITY,CLIENT_ADDR_POINT_ID,OBJECTID,geometry
19,6052169,,2233,Kipling Ave,2233 Kipling Ave,M9W 4L3,Etobicoke,Toronto,Etobicoke North (1 ),Kipling Acres,101002,Old Age/Retirement Home,6052173,R,86.69,Land,2233,,,,1935,,,,,17,Kipling Acres Phase I,2233 Kipling Ave,FIT 3,"Feb 19, 2016",150.0,,,,,,,6052169,17,"{'type': 'Point', 'coordinates': (-79.5719982499343, 43.7251351200783)}"
20,6052169,,2233,Kipling Ave,2233 Kipling Ave,M9W 4L3,Etobicoke,Toronto,Etobicoke North (1 ),Kipling Acres,101002,Old Age/Retirement Home,6052173,R,86.69,Land,2233,,,,1935,,,,,18,Kipling Acres Phase II,2233 Kipling Ave,FIT 3,Aug 2017,75.0,,,,,,,6052169,18,"{'type': 'Point', 'coordinates': (-79.5719982499343, 43.7251351200783)}"
21,6733579,,590,Rathburn Rd,590 Rathburn Rd,M9C 3T3,Etobicoke,Toronto,Etobicoke Centre (2 ),,115001,Unknown,30053232,R,8.76,Land,590,,,,2335,,,,,19,Etobicoke Olympium,590 Rathburn Road,FIT 3,"Mar 3, 2016",150.0,,,,,,,6733579,19,"{'type': 'Point', 'coordinates': (-79.5829866161346, 43.6501069850447)}"
22,1008751,,799,Islington Ave,799 Islington Ave,M8Z 5W8,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),,104002,Municipal Other,913885,R,438.15,Land,799,,,,1863,,,,,20,Stores Warehouse,799 Islington Avenue,FIT 3,"Feb 19, 2016",150.0,,,,,,,1008751,20,"{'type': 'Point', 'coordinates': (-79.509861889354, 43.6174881719346)}"
23,7204531,13973661.0,155,Culford Rd,155 Culford Rd,M6M 4K6,North York,Toronto,York South-Weston (5 ),,106001,Municipal Park,7204532,R,19.61,Structure Entrance,155,,,,5309,,,,,21,Amesbury Park,155 Culford Road,FIT 3,"Feb 4, 2016",130.0,,,,,,,7204531,21,"{'type': 'Point', 'coordinates': (-79.4871565224513, 43.7059421509892)}"
24,7553459,,1116,King St W,1116 King St W,M6K 1E6,former Toronto,Toronto,Spadina-Fort York (10 ),,104008,Other Office Building,7553372,R,-22.74,Land,1116,,,,3780,,,,,22,King Yard,1116 King Street W,FIT 3,"Dec 15, 2015",175.0,,,,,,,7553459,22,"{'type': 'Point', 'coordinates': (-79.4246710739845, 43.6397968801816)}"
25,10759389,,66,Sheridan Ave,66 Sheridan Ave,M6K 2G9,former Toronto,Toronto,Davenport (9 ),McCormick Park,106007,Community/Assembly Hall,10759390,L,25.92,Land,66,,,,4394,,,,,23,McCormick RC,66 Sheridan Ave,FIT 3,"Feb 11, 2016",175.0,,,,,,,10759389,23,"{'type': 'Point', 'coordinates': (-79.4334435859317, 43.6473440605335)}"
26,536808,,6000,Leslie St,6000 Leslie St,M2H 1J9,North York,Toronto,Don Valley North (17 ),Cummer Park Community Centre,106007,Community/Assembly Hall,436461,L,66.59,Land,6000,,,,225,,,,,24,Cummer CC,6000 Leslie Street,FIT 3,"Feb 19, 2016",100.0,,,,,,,536808,24,"{'type': 'Point', 'coordinates': (-79.3712589662871, 43.800095166413804)}"
27,30032588,982432.0,1501,Albion Rd,1501 Albion Rd,M9V 1B2,Etobicoke,Toronto,Etobicoke North (1 ),Albion Arena - Building Grounds,106005,Sport Complex,906946,L,188.46,Structure,1501,,,,1012,,,,,25,Albion Arena,1501 Albion Road,FIT 4,"Jan 31, 2018",140.0,,,,,,,30032588,25,"{'type': 'Point', 'coordinates': (-79.5828153969734, 43.7396511371776)}"
28,982432,,1485,Albion Rd,1485 Albion Rd,M9V 1B2,Etobicoke,Toronto,Etobicoke North (1 ),,106007,Community/Assembly Hall,906946,L,51.98,Land,1485,,,,1012,,,,,26,Albion Community Centre & Pool & Fit Centre,1485 Albion Road,FIT 4,"Nov 27, 2017",49.9,,,,,,,982432,26,"{'type': 'Point', 'coordinates': (-79.5811903806507, 43.73928486421461)}"
