operation_name,operation_type,city,electricity_quantity,ghg_emissions_kg,year
51 Benshire Dr,Other,Toronto,205.6735,9.049634,2015
51 Dockside Dr,Other,Toronto,101032.02,4445.40888,2015
#51 Police Division New,Police Station,Toronto,1383242.483589,339185.442542466,2015
Cosburn Park,Other,Toronto,23312.705417,1025.7590383479999,2015
Sir Adam Beck,Community centres,Toronto,37850.067319,20295.355314866003,2015
#52 Police Division,Police Station,Toronto,1085842.61,210512.87569125998,2015
5341 Dundas St W,Other,Toronto,6400.828262,281.636443528,2015
#53 Police Division,Police Station,Toronto,738787.19,132053.07716311,2015
53 Strachan Ave,Social housing,Toronto,346740.592,15256.586048,2015
#54 Police Division,Police Station,Toronto,485139.872946,130233.18723860399,2015
5575 Yonge St,Other,Toronto,3551.44125,156.26341499999998,2015
557 Palmerston Ave,Parking garages,Toronto,5192.642341,228.47626300399997,2015
Wellesworth Park,Other,Toronto,1727.6248,76.0154912,2015
55 John St Ltg Beacon,Other,Toronto,510333.700614,22454.682827015997,2015
55 John St LED Ltg,Other,Toronto,3615326.5399519997,159074.367757888,2015
#55 Police Division,Police Station,Toronto,544982.477501,52399.678244074,2015
Wexford Park,Other,Toronto,869.5448,38.259971199999995,2015
55 York St,Parking garages,Toronto,3635.75579,159.97325476,2015
Ukranian Canadian Memorial Park,Other,Toronto,23497.690047,1033.8983620679999,2015
567 ARLINGTON,Other,Toronto,22.996095,1.01182818,2015
Centennial Park,Other,Toronto,114528.886735,5039.27101634,2015
573 Gerrard St E,Parking garages,Toronto,8502.075341,374.09131500399997,2015
Sewells Rd Sewage Pumping Station,Sewage Pumping,Toronto,64055.183159,2818.428058996,2015
Lessard Park,Other,Toronto,1526.71791,67.17558804,2015
Serena Gundy Park,Other,Toronto,21841.694813000002,961.034571772,2015
Toronto Water Centre,Administrative Offices,Toronto,3271093.63,680699.4597199999,2015
Hinder Property,Other,Toronto,43489.448470999996,1913.5357327239997,2015
Strathburn Park,Other,Toronto,4808.698955,211.58275401999998,2015
Bill Johnston Park,Other,Toronto,1.0376,0.0456544,2015
670 Pape Ave,Parking garages,Toronto,9308.936259,409.593195396,2015
675 Manning Ave,Parking garages,Toronto,3046.4084820000003,134.041973208,2015
68 Amroth Ave,Parking garages,Toronto,6275.680294,276.129932936,2015
697 Lansdowne Ave,Parking garages,Toronto,4629.155898,203.682859512,2015
708 Millwood Rd,Parking garages,Toronto,1840.532023,80.983409012,2015
709 Millwood Rd,Parking garages,Toronto,43090.515728,1895.982692032,2015
70 Dunfield Ave,Parking garages,Toronto,1011146.7,44490.45479999999,2015
Liberty Village Park,Other,Toronto,14736.358406,648.399769864,2015
Rosethorn Park,Other,Toronto,5408.031337,237.953378828,2015
Nashdene Yard,Storage,Scarborough,29693.31162,81752.74122677,2015
715 Bloor St E-Pole 133 Viewndr/,Street lighting,Toronto,908.9376,39.9932544,2015
71 Ellis Park Rd,Other,Toronto,3635.716112,159.971508928,2015
720 Pape Ave,Parking garages,Toronto,11403.024417999999,501.73307439199993,2015
Etobicoke Valley Park,Other,Toronto,9021.005334,396.9242346959999,2015
72 Clinton St,Parking garages,Toronto,274518.179567,12078.799900947999,2015
734 Middlefield Rd,Other,Toronto,287.351852,12.643481487999999,2015
737 Rhodes Ave,Parking garages,Toronto,6108.008301,268.752365244,2015
751 Brimorton Dr,Other,Toronto,201.881685,8.88279414,2015
Briar Crest Park,Other,Toronto,4577.170023,201.39548101199998,2015
Western Beaches Tunnel Storm Pumping Station,Sewage Pumping,Toronto,991316.58,43617.92952,2015
77 Whitbread,Other,Toronto,2114.961448,93.058303712,2015
Cathedral Square Park,Other,Toronto,6990.877442,307.598607448,2015
7 Bartlett Ave,Parking garages,Toronto,3296.068689,145.027022316,2015
Fallingbrook Sewage Pumping Station,Sewage Pumping,Toronto,20469.5132,900.6585808,2015
Greystone Park,Other,Toronto,4366.030094,192.10532413599998,2015
Port Union Village Comm Park,Other,Toronto,25505.399731999998,1122.2375882079998,2015
8001 Finch,Other,Toronto,3230.7819250000002,142.15440470000001,2015
803 Richmond St W,Parking garages,Toronto,4313.984588,189.815321872,2015
804 Carlaw Ave,Parking garages,Toronto,2960.852856,130.277525664,2015
81 Lee Ave,Parking garages,Toronto,9458.913559,416.192196596,2015
Winter Maintenance Depot,Storage,Toronto,369734.44,74726.01535811,2015
833 Royal York,Street lighting,Toronto,2029.265084,89.287663696,2015
85 Bay St,Parking garages,Toronto,44771.780038,1969.9583216719998,2015
Pine Point Park,Other,Toronto,40302.739972,1773.320558768,2015
Cloverdale Park,Other,Toronto,6935.150221,305.146609724,2015
873 Brimley Rd,Other,Toronto,205.313042,9.033773848,2015
City Clerk's Office,Administrative Offices,Toronto,722187.16,124734.88391266999,2015
Election Services Building,Administrative Offices,Toronto,326736.72555599996,130439.13039839399,2015
Queensway Park,Other,Toronto,48828.8,2148.4672,2015
8 Barkwin Dr,Other,Toronto,3295.23285,144.9902454,2015
8 Carling Ave,Parking garages,Toronto,12703.674410000001,558.96167404,2015
90 Eaton Ave,Parking garages,Toronto,2033.423176,89.47061974399999,2015
912 Eglinton Ave W,Parking garages,Toronto,2168.099244,95.39636673599999,2015
91 Via Italia,Parking garages,Toronto,257206.955033,11317.106021452,2015
924 Markham Rd,Other,Toronto,204.08901699999998,8.979916747999999,2015
946 Scarborough Golf Club Rd,Other,Toronto,191.478303,8.425045332,2015
Murison Woods Park,Other,Toronto,3077.4627299999997,135.40836011999997,2015
99 Cedarvale Ave,Parking garages,Toronto,5622.871588,247.406349872,2015
